key_resp.keys,key_resp.corr,tilt,,hit,miss,fa,cr,,,,,,,
down,0,0,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,3,,,,,1,,,,,respond YES (up),respond NO (down),
down,1,3,,,,,1,,,,Signal present (vertical),hit,miss,
down,1,-4,,,,,1,,,,Signal absent (tilt),false alarm,correct rejection,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,HIT,MISS,FA,CR
down,1,-3,,,,,1,,,sum ,44,4,12,40
down,1,-5,,,,,1,,,,,,,
down,1,4,,,,,1,,,PROP HIT,0.916666667,,,
up,1,0,,1,,,,,,PROP FA,0.230769231,,,
down,1,-4,,,,,1,,,D-PRIME,2.119310044,,,
up,0,1,,,,1,,,,C,-1.014836168,,,
down,1,-5,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,3,,,,,1,,,,,,,
down,1,-4,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,1,,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-4,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,4,,,,,1,,,,,,,
up,0,2,,,,1,,,,,,,,
down,1,-3,,,,,1,,,,,,,
down,1,3,,,,,1,,,,,,,
down,1,-5,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,4,,,,,1,,,,,,,
down,1,-3,,,,,1,,,,,,,
down,1,-5,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,4,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,2,,,,,1,,,,,,,
down,1,-2,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,2,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-3,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,2,,,,,1,,,,,,,
up,0,2,,,,1,,,,,,,,
down,1,-4,,,,,1,,,,,,,
down,1,-4,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,4,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,2,,,,1,,,,,,,,
down,1,4,,,,,1,,,,,,,
down,1,4,,,,,1,,,,,,,
down,1,2,,,,,1,,,,,,,
up,0,-5,,,,1,,,,,,,,
down,1,4,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,
down,0,0,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,
up,0,3,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,1,-4,,,,,1,,,,,,,
down,1,-5,,,,,1,,,,,,,
down,1,1,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,1,,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,1,,,,1,,,,,,,,
down,1,-3,,,,,1,,,,,,,
down,1,-5,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,2,,,,1,,,,,,,,
down,1,-3,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,3,,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,
down,1,-2,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,3,,,,1,,,,,,,,
